id,categoryname,title,partno,size,price,code,weight
1,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-001,1-Aug,53.2,POA,0.58
2,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-002,1-Apr,80.73,POA,0.96
3,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-003,3-Aug,110.16,POA,1.32
4,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-005,1-Feb,40.09,A,1.94
5,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-007,3-Apr,52.92,A,2.64
6,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-010,1,79.39,A,3.7
7,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-012,1/01/2004,110,A,5.28
8,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-015,1/01/2002,124.43,A,6.36
9,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-020,2,172.41,A,8.94
10,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-025,2/01/2002,289.36,A,14.36
11,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-030,3,354.85,A,17.76
12,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-040,4,511.22,A,25.82
13,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-050,5,0,POA,37.02
14,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-060,6,985,A,50.94
15,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-080,8,1481.52,A,44.38
16,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-100,10,2352.24,B,112.1
17,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-120,12,3234.33,B,157.84
18,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-140,14,4189.93,B,189.34
19,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-160,16,5962.27,B,243.44
20,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-180,18,9188.44,POA,304.58
21,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-200,20,11826.54,POA,372.7
22,Grey Pipe ,SCH80 GREY UPVC PIPE PLAIN END 6M,8008-240,24,16759.71,POA,528.76
23,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-001C,1-Aug,113.13,POA,0.94
24,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-002C,1-Apr,130.41,POA,1.06
25,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-003C,3-Aug,177.66,POA,1.48
26,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-005C,1-Feb,107.08,A,2.04
27,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-007C,3-Apr,145.81,A,2.76
28,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-010C,1,215.11,A,4.08
29,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-012C,1/01/2004,296.03,A,5.6
30,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-015C,1/01/2002,359.01,A,6.82
31,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-020C,2,497.57,A,9.44
32,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-025C,2/01/2002,758.73,A,14.36
33,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-030C,3,1016.96,A,19.26
34,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-040C,4,1486.44,A,28.16
35,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-050C,5,0,POA,53.78
36,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-060C,6,2892.93,B,53.78
37,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-080C,8,4797.51,POA,82.1
38,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-100C,10,8701.11,POA,118.2
39,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-120C,12,11960.85,POA,166.62
40,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-140C,14,15237.99,POA,211.2
41,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-160C,16,19596.6,POA,271.42
42,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-180C,18,24672.87,POA,321.62
43,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-200C,20,31077.27,POA,416.58
44,Grey Pipe ,SCH80 GREY CPVC PIPE PLAIN END 6M,8008-240C,24,44093.16,POA,589.3
45,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-002,1-Apr,14.46,C,0.02
46,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-003,3-Aug,13.84,C,0.03
47,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-005,1-Feb,13.84,A,0.05
48,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-007,3-Apr,14.5,A,0.07
49,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-010,1,18.14,A,0.12
50,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-012,1/01/2004,49.84,A,0.17
51,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-015,1/01/2002,49.84,A,0.24
52,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-020,2,62.32,A,0.36
53,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-025,2/01/2002,67.77,A,0.72
54,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-030,3,84.7,A,0.98
55,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-040,4,98.13,A,1.6
56,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-050,5,250.28,C,2.63
57,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-060,6,335.1,A,5.11
58,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-080,8,777.2,A,9.55
59,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-100,10,2567.73,B,17.2
60,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-120,12,3791.18,POA,24.72
61,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-140F,14,4026.32,POA,43.39
62,Equal Tee,EQUAL TEE SCH80 GREY UPVC SOC,801-160F,16,5235.42,POA,65.77
63,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-002C,1-Apr,19.12,C,0.02
64,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-003C,3-Aug,19.12,C,0.03
65,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-005C,1-Feb,19.12,A,0.05
66,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-007C,3-Apr,19.45,A,0.08
67,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-010C,1,23.84,A,0.13
68,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-012C,1/01/2004,50.29,A,0.18
69,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-015C,1/01/2002,57.6,A,0.24
70,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-020C,2,64.11,A,0.37
71,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-025C,2/01/2002,163.23,A,0.74
72,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-030C,3,163.23,A,1.11
73,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-040C,4,217.23,A,1.69
74,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-050C,5,537,C,2.88
75,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-060C,6,565.3,A,5.53
76,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-080C,8,1619.3,A,9.78
77,Equal Tee,EQUAL TEE SCH80 GREY CPVC SOC,801-100C,10,3568.33,POA,18.39
